Trie constructed
shortlist size: 100
Word counts size: 881233
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 7625530
Initial setup phase: 20162 ms
262. |all [61 6c 6c ] | 829162  | 2 ms | 15 ms | num. checks: 100
263. |sion [73 69 6f 6e ] | 825702  | 5 ms | 13 ms | num. checks: 100
264. |ability [61 62 69 6c 69 74 79 ] | 823870  | 4 ms | 18 ms | num. checks: 3
265. |act [61 63 74 ] | 821397  | 5 ms | 18 ms | num. checks: 100
266. |ĠL [c4 a0 4c ] | 818009  | 4 ms | 33 ms | num. checks: 2
267. |ance [61 6e 63 65 ] | 816827  | 0 ms | 8 ms | num. checks: 1
268. |Ġinvestig [c4 a0 69 6e 76 65 73 74 69 67 ] | 811023  | 0 ms | 0 ms | num. checks: 0
269. |Ġfind [c4 a0 66 69 6e 64 ] | 810916  | 0 ms | 0 ms | num. checks: 0
270. |ary [61 72 79 ] | 808783  | 1 ms | 9 ms | num. checks: 62
271. |ase [61 73 65 ] | 802153  | 0 ms | 5 ms | num. checks: 2
272. |Ġsc [c4 a0 73 63 ] | 799748  | 0 ms | 3 ms | num. checks: 0
273. |Ġ1 [c4 a0 31 ] | 797247  | 0 ms | 11 ms | num. checks: 0
274. |ĠG [c4 a0 47 ] | 788764  | 5 ms | 40 ms | num. checks: 100
275. |ort [6f 72 74 ] | 785519  | 3 ms | 11 ms | num. checks: 100
276. |Ġbehavi [c4 a0 62 65 68 61 76 69 ] | 785044  | 0 ms | 0 ms | num. checks: 0
277. |Ġ\ [c4 a0 5c ] | 775765  | 1 ms | 3 ms | num. checks: 67
278. |Ġrepresent [c4 a0 72 65 70 72 65 73 65 6e 74 ] | 774507  | 1 ms | 1 ms | num. checks: 14
279. |ular [75 6c 61 72 ] | 774149  | 0 ms | 8 ms | num. checks: 0
280. |Ġdevelop [c4 a0 64 65 76 65 6c 6f 70 ] | 773694  | 4 ms | 4 ms | num. checks: 100
281. |Ġgalax [c4 a0 67 61 6c 61 78 ] | 772527  | 0 ms | 0 ms | num. checks: 0
282. |Ġwhere [c4 a0 77 68 65 72 65 ] | 770906  | 0 ms | 0 ms | num. checks: 0
283. |Ġstrong [c4 a0 73 74 72 6f 6e 67 ] | 765657  | 0 ms | 0 ms | num. checks: 0
284. |Ġbound [c4 a0 62 6f 75 6e 64 ] | 765044  | 0 ms | 0 ms | num. checks: 0
285. |Ġcurrent [c4 a0 63 75 72 72 65 6e 74 ] | 763160  | 3 ms | 3 ms | num. checks: 100
