Trie constructed
shortlist size: 100
Word counts size: 105505
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 884630
Initial setup phase: 1897 ms
279. |Ġjust [c4 a0 6a 75 73 74 ] | 72568  | 1 ms | 2 ms | num. checks: 73
280. |Ġso [c4 a0 73 6f ] | 72395  | 0 ms | 0 ms | num. checks: 0
281. |Ġ19 [c4 a0 31 39 ] | 72118  | 0 ms | 0 ms | num. checks: 0
282. |Ġcontrib [c4 a0 63 6f 6e 74 72 69 62 ] | 72003  | 1 ms | 1 ms | num. checks: 17
283. |Ġsp [c4 a0 73 70 ] | 71386  | 3 ms | 4 ms | num. checks: 100
284. |ĠN [c4 a0 4e ] | 71273  | 0 ms | 3 ms | num. checks: 0
285. |Ġ— [c4 a0 e2 80 94 ] | 70868  | 0 ms | 0 ms | num. checks: 47
286. |Ġquestion [c4 a0 71 75 65 73 74 69 6f 6e ] | 70497  | 0 ms | 1 ms | num. checks: 60
287. |Ġrepresent [c4 a0 72 65 70 72 65 73 65 6e 74 ] | 70380  | 0 ms | 0 ms | num. checks: 0
288. |Ġrecogn [c4 a0 72 65 63 6f 67 6e ] | 70352  | 1 ms | 1 ms | num. checks: 18
